word,sent
spandau,"['spandau', 'ballet']"
sir ken,"['visitors', 'can', 'investigate', 'gadgets', 'in', 'q', 's', 'lab', 'examine', 'original', 'concept', 'art', 'in', 'oscar', 'winning', 'production', 'designer', 'sir', 'ken', 'adam', 's', 'studio', 'and', 'peek', 'behind', 'the', 'scenes', 'of', 'skyfall', 's', 'explosive', 'finale']"
sir ken,"['explore', 'the', 'reimagined', 'q', 's', 'lab', 'and', 'sir', 'ken', 'adams', 's', 'studio', 'and', 'a', 'specially', 'commissioned', 'video', 'homage', 'to', 'the', '50', 'year', 'relationship', 'between', '007', 'and', 'his', 'aston', 'martin']"
sir ken,"['investigate', 'gadgets', 'in', 'q', 's', 'lab', 'examine', 'original', 'concept', 'art', 'in', 'oscar', 'winning', 'production', 'designer', 'sir', 'ken', 'adam', 's', 'studio', 'and', 'peek', 'behind', 'the', 'scenes', 'of', 'skyfall', 's', 'explosive', 'finale']"
penske,"['partial', 'penske', 'peel', 'at', 'the', '11foot8', 'plus', '8', 'bridge']"
jaca,"['jaca', 'meaning', 'and', 'origin', 'of', 'the', 'name', 'jaca', 'nameaning']"
jaca,['jaca']
jaca,"['jaca', 'expression', 'jaca', 'soul', 'urge', 'jaca', 'inner', 'dream']"
jaca,"['numerology', 'information', 'jaca']"
jaca,"['definition', 'funny', 'of', 'jaca']"
jaca,"['a', 'jaca', 'is', 'not', 'useful', 'to', 'conduct', 'any', 'work', 'except', 'for', 'riding', 'in', 'this', 'sense', 'it', 'is', 'less', 'useful', 'than', 'a', 'mule']"
jaca,"['another', 'synonym', 'but', 'whose', 'usage', 'is', 'more', 'limited', 'to', 'the', 'hispanic', 'population', 'of', 'south', 'florida', 'is', 'valeria', 'probably', 'from', 'someone', 's', 'jaca', 'who', 'was', 'given', 'the', 'name', 'valeria']"
jaca,"['this', 'woman', 'is', 'so', 'annoyingly', 'stupid', 'she', 'is', 'una', 'jaca', 'una', 'yegua', 'una', 'valeria']"
jaca,"['a', 'jaca', 'is', 'not', 'useful', 'to', 'conduct', 'any', 'work', 'except', 'for', 'riding', 'in', 'this', 'sense', 'it', 'is', 'less', 'useful', 'than', 'a', 'mule']"
jaca,"['in', 'south', 'florida', 'a', 'jaca', 'is', 'also', 'referred', 'to', 'as', 'valeria', 'probably', 'from', 'someone', 's', 'jaca', 'who', 'was', 'given', 'the', 'name', 'valeria']"
jaca,"['this', 'woman', 'is', 'so', 'annoyingly', 'stupid', 'sh', 'is', 'una', 'jaca', 'una', 'yegua', 'una', 'valeria']"
jaca,"['songs', 'about', 'jaca']"
jaca,"['visgo', 'de', 'jaca', 'by', 'c', 'u', 'from', 'the', 'album', 'cangote']"
jaca,"['brazilian', 'choro', 'medley', 'apenhei', 'te', 'cavaquinho', '/', 'ternura', '/', 'corta', 'jaca', 'by', 'the', 'turtle', 'island', 'quartet', 'mike', 'marshall', 'from', 'the', 'album', 'mike', 'marshall', 'the', 'turtle', 'island', 'quartet']"
jaca,"['ova', 'noc', 'je', 'samo', 'nasa', '/', 'od', 'svega', 'je', 'ljubav', 'jaca', 'live', 'by', 'drazen', 'zecic', 'from', 'the', 'album', 'znjan', 'u', 'zivo']"
jaca,"['mi', 'jaca', 'by', 'pasodobles', 'from', 'the', 'album', 'pasodobles']"
jaca,"['mi', 'jaca', 'by', 'banda', 'taurina', 'de', 'madrid', 'from', 'the', 'album', 'spanish', 'pasodobles', 'bullfight']"
jaca,"['mi', 'jaca', 'by', 'pasodobles', 'from', 'the', 'album', 'cantados']"
jaca,"['books', 'about', 'jaca']"
jaca,"['jaca', 'book', 'webster', 's', 'timeline', 'history', '1966', '2007', 'by', 'icon', 'group', 'international', 'may', '1', '2009']"
jaca,"['jaca', 'webster', 's', 'timeline', 'history', '1515', '2007', 'by', 'philip', 'm']"
jaca,"['jaca', 'o', 'jacar', 'que', 'virou', 'bolsa', '2004']"
jaca,"['jaca', 'o', 'jacar', 'que', 'virou', 'bolsa', 'mini', 'eco', 'livro', '1', 'portuguese', 'edition', 'by', 'vania', 'dohme', 'and', 'walter', 'dohme', 'may', '13', '2013']"
jaca,"['jaca', 'documentos', 'municipales', '971', '1324', 'introduccion', 'y', 'concordancia', 'lematizada', 'monografias', 'de', 'filologia', 'latina']"
jaca,"['jaca', 'and', 'tea', 'korean', 'edition', '2009']"
jaca,"['jaca', 'y', 'su', 'tierra', 'by', 'cayetano', 'enriquez', 'de', 'salamanca', '1983']"
jaca,"['movies', 'about', 'jaca']"
jaca,"['wiki', 'information', 'jaca']"
jaca,['jaca']
jaca,"['jaca', 'is', 'a', 'city', 'of', 'northeastern', 'spain', 'near', 'the', 'border', 'with', 'france', 'in', 'the', 'midst', 'of', 'the', 'pyrenees', 'in', 'the', 'province', 'of', 'huesca']"
jaca,"['jaca', 'a', 'ford', 'on', 'the', 'arag', 'n', 'river', 'at', 'the', 'crossing', 'of', 'two', 'great', 'early', 'medieval', 'routes', 'one', 'from', 'pau', 'to', 'zaragoza', 'was', 'the', 'fortified']"
jaca,"['roman', 'catholic', 'diocese', 'of', 'jaca']"
jaca,"['the', 'diocese', 'of', 'jaca', 'is', 'located', 'in', 'northeastern', 'spain', 'in', 'the', 'province', 'of', 'huesca', 'part', 'of', 'the', 'autonomous', 'community', 'of', 'arag', 'n']"
jaca,['jaca']
jaca,"['juhnior', 'kardasz', 'nekkaz', 'kayinamura', 'kivlighan', 'machamer', 'mater', 'gyelsen', 'arupjyoti', 'mathiseelan', 'bour', 'morphew', 'mwale', 'woolas', 'myasiah', 'nocando', 'halina', 'panerai', 'darch', 'jaca']"
pingtao,"['pingtao', 'electronic', 'toy', 'factory']"
penske,"['he', 'is', 'by', 'far', 'the', 'best', 'driver', 'who', 'doesn', 't', 'work', 'for', 'ganassi', 'andretti', 'or', 'penske']"
prosciutto,"['tail', 'fatback', 'capicola', 'boudin', 'beef', 'prosciutto']"
mehmud,"['bai', 'ron', 'kanye', 'speedy', 'cathryn', 'mya', 'van', 'enya', 'mya', 'alycia', 'caesar', 'jai', 'dev', 'greco', 'mehmud', 'wyeth', 'ayub', 'eira', 'clarice', 'ilsa']"
wooden slab,"['soft', 'fresh', 'dough', 'that', 's', 'crunch', 'on', 'the', 'outside', 'and', 'fluffy', 'white', 'and', 'yeasty', 'on', 'the', 'inside', 'delicious', 'cheese', 'and', 'toppings', 'all', 'baked', 'to', 'perfection', 'on', 'a', 'wooden', 'slab']"
mehmud,"['van', 'enya', 'mya', 'alycia', 'caesar', 'jai', 'dev', 'greco', 'mehmud', 'wyeth', 'ayub', 'eira', 'clarice', 'ilsa', 'alessandra', 'lazar', 'sandrino', 'axel', 'flo', 'lilja']"
prosciutto,"['?', 'i', 'chose', 'a', 'baked', 'risotto', 'for', 'mains', 'which', 'was', 'very', 'tasty', 'being', 'wrapped', 'in', 'prosciutto', 'and', 'served', 'with', '?', 'prawns', 'in', 'a', 'creamy', 'sauce']"
prosciutto,"['?', 'i', 'chose', 'a', 'baked', 'risotto', 'for', 'mains', 'which', 'was', 'very', 'tasty', 'being', 'wrapped', 'in', 'prosciutto', 'and', 'served', 'with', '?', 'prawns', 'in', 'a', 'creamy', 'sauce']"
